"replicate","n","corner_relief","edge","family","cor_true","delta_kl_total","node_holdout_score","gen_time","fit_time"
3,4000,0.8,"1->2","Clayton(3.0)",0.768634493604724,-0.318381376434517,0.472466830184506,18.3422110080719,4.165452003479
3,4000,0.8,"7->8","Gumbel(3.0)",0.831167021416918,-0.318381376434517,0.58325866498159,18.3422110080719,4.165452003479
3,8000,0,"1->2","Clayton(3.0)",0.773135794875646,0,0.447648992458937,36.844752073288,15.8813309669495
3,8000,0,"7->8","Gumbel(3.0)",0.819872972986155,0,0.550085320206949,36.844752073288,15.8813309669495
3,8000,0.3,"1->2","Clayton(3.0)",0.781939773316645,-0.0379466046451524,0.449373652193045,36.844752073288,15.9515700340271
3,8000,0.3,"7->8","Gumbel(3.0)",0.836254830879313,-0.0379466046451524,0.580534647989586,36.844752073288,15.9515700340271
3,8000,0.6,"1->2","Clayton(3.0)",0.787352667411916,-0.076783405187665,0.4471767065484,36.844752073288,15.9386129379272
3,8000,0.6,"7->8","Gumbel(3.0)",0.804770914661216,-0.076783405187665,0.50971278838607,36.844752073288,15.9386129379272
3,8000,0.8,"1->2","Clayton(3.0)",0.75462777292408,-0.0717509031124126,0.425498553442208,36.844752073288,15.8694491386414
3,8000,0.8,"7->8","Gumbel(3.0)",0.837137589500329,-0.0717509031124126,0.581720203801109,36.844752073288,15.8694491386414
3,16000,0,"1->2","Clayton(3.0)",0.765189867453374,0,0.441679018949219,76.5937438011169,67.9726459980011
3,16000,0,"7->8","Gumbel(3.0)",0.834985124180296,0,0.592392546192846,76.5937438011169,67.9726459980011
3,16000,0.3,"1->2","Clayton(3.0)",0.781142555932461,0.152291246651515,0.440056680478086,76.5937438011169,66.3221969604492
3,16000,0.3,"7->8","Gumbel(3.0)",0.778745505722701,0.152291246651515,0.427925011126746,76.5937438011169,66.3221969604492
3,16000,0.6,"1->2","Clayton(3.0)",0.74952244398706,-0.0922726145413373,0.424350328728534,76.5937438011169,63.1950597763062
3,16000,0.6,"7->8","Gumbel(3.0)",0.837338621567602,-0.0922726145413373,0.595763925003299,76.5937438011169,63.1950597763062
3,16000,0.8,"1->2","Clayton(3.0)",0.783727460643652,0.0517263636694278,0.438277840367329,76.5937438011169,62.1467308998108
3,16000,0.8,"7->8","Gumbel(3.0)",0.801893633842901,0.0517263636694278,0.511570951412986,76.5937438011169,62.1467308998108
4,2000,0,"1->2","Clayton(3.0)",0.782815806537869,0,0.423068796511597,9.19363713264465,1.15636897087097
4,2000,0,"7->8","Gumbel(3.0)",0.84210468317716,0,0.596897308537889,9.19363713264465,1.15636897087097
4,2000,0.3,"1->2","Clayton(3.0)",0.789985961218706,-0.096040251874304,0.420283795306647,9.19363713264465,1.13910722732544
4,2000,0.3,"7->8","Gumbel(3.0)",0.836353308506617,-0.096040251874304,0.58740358717171,9.19363713264465,1.13910722732544
4,2000,0.6,"1->2","Clayton(3.0)",0.79077500471729,0.0550635383274232,0.419835305384607,9.19363713264465,1.14862298965454
4,2000,0.6,"7->8","Gumbel(3.0)",0.839400171737409,0.0550635383274232,0.592756217833437,9.19363713264465,1.14862298965454
4,2000,0.8,"1->2","Clayton(3.0)",0.77087139483481,0.0182103181020565,0.417389673184764,9.19363713264465,1.12881088256836
4,2000,0.8,"7->8","Gumbel(3.0)",0.822755077982074,0.0182103181020565,0.55706767015189,9.19363713264465,1.12881088256836
4,4000,0,"1->2","Clayton(3.0)",0.757190503836939,0,0.458383113305316,18.4621930122375,4.19978189468384
4,4000,0,"7->8","Gumbel(3.0)",0.819262047213864,0,0.552067189336248,18.4621930122375,4.19978189468384
4,4000,0.3,"1->2","Clayton(3.0)",0.770644458102918,0.0400295168576421,0.469563673160594,18.4621930122375,4.14134907722473
4,4000,0.3,"7->8","Gumbel(3.0)",0.834402796307336,0.0400295168576421,0.577320489790139,18.4621930122375,4.14134907722473
4,4000,0.6,"1->2","Clayton(3.0)",0.781721945058652,0.116823270784,0.468441278497347,18.4621930122375,4.17360210418701
4,4000,0.6,"7->8","Gumbel(3.0)",0.836856840849565,0.116823270784,0.580000387293085,18.4621930122375,4.17360210418701
4,4000,0.8,"1->2","Clayton(3.0)",0.755102794246509,0.0270028515706593,0.455339522175188,18.4621930122375,4.17092514038086
4,4000,0.8,"7->8","Gumbel(3.0)",0.832130139672322,0.0270028515706593,0.574453945569985,18.4621930122375,4.17092514038086
4,8000,0,"1->2","Clayton(3.0)",0.774342081007373,0,0.455220561265988,37.0962109565735,16.1154868602753
4,8000,0,"7->8","Gumbel(3.0)",0.836550482383474,0,0.578970862891863,37.0962109565735,16.1154868602753
4,8000,0.3,"1->2","Clayton(3.0)",0.776838164137062,0.114123887759403,0.455212516591418,37.0962109565735,16.2174251079559
4,8000,0.3,"7->8","Gumbel(3.0)",0.831046715036021,0.114123887759403,0.571059380948088,37.0962109565735,16.2174251079559
4,8000,0.6,"1->2","Clayton(3.0)",0.779854349632086,0.087160456569463,0.454571727057792,37.0962109565735,15.9324479103088
4,8000,0.6,"7->8","Gumbel(3.0)",0.84052511242666,0.087160456569463,0.583345353827002,37.0962109565735,15.9324479103088
4,8000,0.8,"1->2","Clayton(3.0)",0.776170640242937,0.0248979179188544,0.455808987016747,37.0962109565735,16.0095629692078
4,8000,0.8,"7->8","Gumbel(3.0)",0.840374954475266,0.0248979179188544,0.583225250804203,37.0962109565735,16.0095629692078
4,16000,0,"1->2","Clayton(3.0)",0.769739337859592,0,0.450615495405897,73.8448691368103,63.1375510692596
4,16000,0,"7->8","Gumbel(3.0)",0.811908090711877,0,0.540994590490267,73.8448691368103,63.1375510692596
4,16000,0.3,"1->2","Clayton(3.0)",0.743223902865438,0.00448912920305355,0.412298293950705,73.8448691368103,62.5233039855957
4,16000,0.3,"7->8","Gumbel(3.0)",0.825683626363979,0.00448912920305355,0.569747664666395,73.8448691368103,62.5233039855957
4,16000,0.6,"1->2","Clayton(3.0)",0.750325801593014,0.159691335890016,0.426737296779748,73.8448691368103,62.3169631958008
4,16000,0.6,"7->8","Gumbel(3.0)",0.837708840199419,0.159691335890016,0.585461853902877,73.8448691368103,62.3169631958008
4,16000,0.8,"1->2","Clayton(3.0)",0.764794117422874,0.0393562658695861,0.447154167937123,73.8448691368103,62.4792399406433
4,16000,0.8,"7->8","Gumbel(3.0)",0.822963446190147,0.0393562658695861,0.564744339989641,73.8448691368103,62.4792399406433
5,2000,0,"1->2","Clayton(3.0)",0.760010597634785,0,0.491051113099253,9.1980311870575,1.16196894645691
5,2000,0,"7->8","Gumbel(3.0)",0.83541690549762,0,0.563293236329765,9.1980311870575,1.16196894645691
5,2000,0.3,"1->2","Clayton(3.0)",0.781677022557353,0.0724327563380363,0.513481300345067,9.1980311870575,1.15752601623535
5,2000,0.3,"7->8","Gumbel(3.0)",0.833186968231013,0.0724327563380363,0.561012866511244,9.1980311870575,1.15752601623535
5,2000,0.6,"1->2","Clayton(3.0)",0.784888434414478,-0.0160534216967108,0.514054197894429,9.1980311870575,1.14165306091309
